mof,1s,2s,3s,4s,5s,6s,7s,2p,3p,4p,5p,6p,3d,4d,5d,6d,4f,5f,metal,linker1smi,oxidation_state,temperature,time
WIRMOB_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(COc2c3c(c(OCc4ccc(C(=O)O)cc4)c4c2C2c5ccccc5C4c4ccccc42)C2c4ccccc4C3c3ccccc32)cc1,2,110,72
VIXTUT_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,c1cc(CCc2ccncc2)ccn1,2,85,72
PODKUQ_clean,2,2,2,1,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Cu,O=C(O)c1cc(C(=O)O)cc(-n2cc(-c3ccc(-c4cc(-c5ccc(-c6cn(-c7cc(C(=O)O)cc(C(=O)O)c7)nn6)cc5)cc(-c5ccc(-c6cn(-c7cc(C(=O)O)cc(C(=O)O)c7)nn6)cc5)c4)cc3)nn2)c1,2,80,24
IKUTOZ_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,10,0,Dy,O=C(O)c1c2ccccc2c(C(=O)O)c2ccccc12,3,95,24
LADHEF_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,c1nnc[nH]1,2,80,72
GAWJEV_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1ccc(C(=O)O)c(-c2cc(C(=O)O)ccc2C(=O)O)c1,2,120,72
KIKFIV_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,7,0,Eu,O=C(O)c1ccc(C#Cc2c3ccccc3c(C#Cc3ccc(C(=O)O)cc3)c3ccccc23)cc1,3,85,96
TIXCIO_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,c1ncc(-c2cc(-c3cnc[nH]3)cc(-c3cnc[nH]3)c2)[nH]1,2,160,72
GETXAG_clean,2,2,2,2,0,0,0,6,6,0,0,0,7,0,0,0,0,0,Co,Nc1ccc(-c2nnn[nH]2)cc1,2,100,48
PEWKOT_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1nc(-c2ccccc2)[nH]c1C(=O)O,2,160,72
ZOFZIF_clean,2,2,2,2,0,0,0,6,6,0,0,0,5,0,0,0,0,0,Mn,O=C(O)c1cc(C(=O)O)cc(-c2cn(-c3cc(C(=O)O)cc(C(=O)O)c3)nn2)c1,2,110,48
QUQFOY_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,2,65,24
WISVEB_clean,2,2,2,2,2,0,0,6,6,6,0,0,10,10,0,0,0,0,Cd,O=C(O)c1cc(N=Nc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,2,85,48
SARMOO_clean,2,2,2,2,2,2,0,6,6,6,6,0,10,10,0,0,7,0,Eu,O=C(O)c1ccc(C(=O)O)c2ccccc12,3,120,48
RUGKOV_clean,2,2,2,2,0,0,0,6,6,0,0,0,10,0,0,0,0,0,Zn,O=C(O)c1cn[nH]c1,2,120,336
